"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","percent.rRNA","percent.protein","sample_name","original_sample_name","Batch","Cell_type","Compartment","Species","sampling_type","treatment","ERCC","Sequencer","Sequencing_run","Sequencing_protocol","i5_index","i7_index","cDNA_profile","cDNA_concentration","trial","Date","Probe","Cell_NO","Extract_NO","Note","Volume_preloaded_buffer_fl","Volume_extract_and_preload_fl","Volume_cell_extract_fl","Extraction_time_h","library_concentration","mCherry_TNFa","double_extraction","double_extraction_order","celltype_treatment","input.reads","ave.read.len","uniquely.mapped","multiple.mapped","too.many.mapped","too.many.mismatches","too.short","others","mCherry.log.intercept","mCherry.log.slope","mCherry.AUC","sample_ID"
"Live_seq_exp7_74","Live",1008240,2186,4.90359438228993,0.540744267237959,96.4517376815044,"Live_seq_exp7_74","Live_seq_exp7_74","7","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S502","Ad2.2","",0.816462539,"no","20190430","_11 14-35",NA,NA,"emptied",0,1248,1248,"","","-","",NA,"Raw264.7_not_treated",1639493,74,1193084,0,311288,0,7.01,1.23,NA,NA,NA,"sample39"
"G9_LPS_F3","G9",410783,8298,8.30974017912134,8.8114649340406,82.6377917294533,"G9_LPS_F3","G9_LPS_F3","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S513","Ad2.3","pass",2.400206601,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",712755,74,547634,0,133964,0,3.98,0.39,NA,NA,NA,"sample40"
"G9_LPS_H12","G9",440707,8038,7.58735395625665,9.34407667679433,82.9451313457694,"G9_LPS_H12","G9_LPS_H12","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.12","pass",3.075596439,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",752405,74,575293,0,147481,0,3.46,0.48,NA,NA,NA,"sample41"
"IBA_G7","IBA",341161,8789,7.55420461307125,9.82204882738648,82.3951155026512,"IBA_G7","IBA_G7","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.33","pass",1.647135741,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",594681,74,465844,0,106925,0,3.42,0.26,NA,NA,NA,"sample42"
"G9_Mock_D1","G9",433739,7309,13.255206472095,8.36655223533046,79.9236407148078,"G9_Mock_D1","G9_Mock_D1","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S516","Ad2.13","pass",0.758059064,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",764102,74,592219,0,133026,0,4.77,0.32,NA,NA,NA,"sample43"
"G9_LPS_G11","G9",280812,8224,6.57486147315642,8.96079939603721,84.8820563223794,"G9_LPS_G11","G9_LPS_G11","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S511","Ad2.11","pass",2.484814797,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",492458,74,378545,0,93756,0,3.62,0.47,NA,NA,NA,"sample44"
"G9_Mock_D9","G9",467278,7895,9.86607544117206,15.3769276533455,72.8241004284387,"G9_Mock_D9","G9_Mock_D9","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S516","Ad2.21","pass",1.309117595,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",898962,74,688843,0,170328,0,4.11,0.31,NA,NA,NA,"sample45"
"G9_LPS_E4","G9",411617,9066,7.20572765459153,12.7091446660366,79.0735076539599,"G9_LPS_E4","G9_LPS_E4","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.4","pass",2.187210389,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",753585,74,577806,0,144013,0,3.91,0.3,NA,NA,NA,"sample46"
"G9_LPS_H8","G9",451722,7373,8.8623091193256,10.1679794209713,79.5555673622272,"G9_LPS_H8","G9_LPS_H8","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.8","pass",1.968311279,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",787735,74,608045,0,146572,0,3.78,0.43,NA,NA,NA,"sample47"
"G9_Mock_E3","G9",407883,8836,11.1154424185367,13.2040315482626,73.1307752468232,"G9_Mock_E3","G9_Mock_E3","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S515","Ad2.15","pass",1.886417008,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_not_treated",742972,73,559831,0,141494,0,5.21,0.39,NA,NA,NA,"sample48"
"G9_LPS_C1","G9",520741,8383,7.6757927645413,9.63991696447946,79.7828479032763,"G9_LPS_C1","G9_LPS_C1","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.1","pass",1.003679473,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",902719,74,696788,0,165395,0,4.1,0.39,NA,NA,NA,"sample49"
"IBA_H3","IBA",428177,8512,9.88773334392086,11.5615738351196,78.5819882898895,"IBA_H3","IBA_H3","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S510","Ad2.29","pass",1.551512186,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",758340,74,599194,0,131033,0,3.45,0.26,NA,NA,NA,"sample50"
"Live_seq_exp7_150","Live",410912,2483,6.24829647223736,8.95057822599486,82.3297932404018,"Live_seq_exp7_150","Live_seq_exp7_22","7","Raw264.7_G9","cytoplasm","Mouse","Live_seq","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S504","Ad2.18","",0.478965212,"no","20190313","_10 11-30",NA,NA,"",700,1494,794,"","","cell_divides","",NA,"Raw264.7_not_treated",814572,74,550631,0,165621,0,5.55,6.52,NA,NA,NA,"sample51"
"IBA_B6","IBA",364676,9723,4.26378483914488,8.84730555342276,85.9423159187882,"IBA_B6","IBA_B6","scRNA","IBA","scRNA","Mouse","scRNA","not_treated",1e-08,"NextSeq500","NXT0481","1X75","S518","Ad2.32","pass",5.609953745,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"IBA_not_treated",619924,73,468862,0,117812,0,5.03,0.33,NA,NA,NA,"sample52"
"Live_seq_exp7_132","Live",661252,2847,5.42849019738315,6.67067925692474,85.7592869284327,"Live_seq_exp7_132","Live_seq_exp7_37","7","Raw264.7_G9","cytoplasm","Mouse","Live_seq","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S506","Ad2.26","",0.513234171,"no","20190319","_10 11-24",NA,NA,"",0,1325,1325,"","","medium","",NA,"Raw264.7_LPS_treated",1181125,74,862331,0,223964,0,5.28,2.75,NA,NA,0,"sample53"
"G9_LPS_C5","G9",410714,7895,8.71774519495318,19.8354572768398,67.9424124816782,"G9_LPS_C5","G9_LPS_C5","scRNA","Raw264.7_G9","scRNA","Mouse","scRNA","LPS_treated",1e-08,"NextSeq500","NXT0481","1X75","S517","Ad2.5","pass",2.662393625,"no","","",NA,NA,"",NA,NA,NA,"","","","",NA,"Raw264.7_LPS_treated",871096,74,660345,0,175042,0,3.77,0.33,NA,NA,NA,"sample54"
