,orig.ident,Extract_NO,Probe,Cell_NO,sample_name,original_sample_name,Cell_type,Batch,Volume.extract,Cell treatment
Live_seq_exp7_129,Live,NA,_10 11-30,NA,Live_seq_exp7_129,Live_seq_exp7_11,Raw264.7_G9,7,0.76,
Live_seq_exp7_114,Live,NA,_10 09-39,NA,Live_seq_exp7_114,Live_seq_exp7_66,IBA,7,1.63,
Live_seq_exp7_119,Live,NA,_11 14-03,NA,Live_seq_exp7_119,Live_seq_exp7_91,IBA,7,0.95,
Live_seq_exp7_42,Live,42,_10 11-23,NA,Live_seq_exp7_42,Live_seq_exp7_42,Raw264.7_G9,7,1.48,
Live_seq_exp7_135,Live,NA,_10 11-30,NA,Live_seq_exp7_135,Live_seq_exp7_12,Raw264.7_G9,7,1.09,
Live_seq_exp7_108,Live,108,_11 06-15,NA,Live_seq_exp7_108,Live_seq_exp7_108,Raw264.7_G9,7,0.83,
Live_seq_exp7_134,Live,NA,_10 10-03,NA,Live_seq_exp7_134,Live_seq_exp7_53,Raw264.7_G9,7,NA,
Live_seq_exp7_76,Live,76,_11 14-35,NA,Live_seq_exp7_76,Live_seq_exp7_76,Raw264.7_G9,7,0.87,
Live_seq_exp7_109,Live,NA,_10 10-37,NA,Live_seq_exp7_109,Live_seq_exp7_54,IBA,7,1.15,
Live_seq_exp7_118,Live,NA,_11 14-01,NA,Live_seq_exp7_118,Live_seq_exp7_88,IBA,7,0.72,
Live_seq_exp7_47,Live,47,_10 09-12,NA,Live_seq_exp7_47,Live_seq_exp7_47,Raw264.7_G9,7,2.19,
Live_seq_exp7_130,Live,NA,_10 11-24,NA,Live_seq_exp7_130,Live_seq_exp7_34,Raw264.7_G9,7,0.72,
Live_seq_exp7_110,Live,NA,_10 10-37,NA,Live_seq_exp7_110,Live_seq_exp7_56,IBA,7,1.39,
Live_seq_exp7_51,Live,51,_10 10-03,NA,Live_seq_exp7_51,Live_seq_exp7_51,Raw264.7_G9,7,1.01,
Live_seq_exp7_138,Live,NA,_11 06-15,NA,Live_seq_exp7_138,Live_seq_exp7_107,Raw264.7_G9,7,0.98,
Live_seq_exp7_44,Live,44,_10 09-27,NA,Live_seq_exp7_44,Live_seq_exp7_44,Raw264.7_G9,7,1.13,
Live_seq_exp7_41,Live,41,_10 11-23,NA,Live_seq_exp7_41,Live_seq_exp7_41,Raw264.7_G9,7,4.44,
Live_seq_exp7_151,Live,NA,_10 11-23,NA,Live_seq_exp7_151,Live_seq_exp7_26,Raw264.7_G9,7,1.06,
